id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
cf-th138in,Cafetera Thomas 12TZS TH-138I,Despierta con el aroma de café con Thomas.,in stock,new,99.00 PEN,,https://www.lacuracao.pe/cafetera-thomas-th-138i-12-tazas.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/cf-th138in_f1595b8f73cb.jpg,https://www.lacuracao.pe/media/catalog/product/c/f/cf-th138in_01.jpg,Thomas,Home & Garden > Kitchen & Dining > Kitchen Appliances,Electrohogar > Electrodomésticos > Cafeteras y Hervidores,,,,,propio
vsv-680,Máquina selladora de vasos Ventus,Dale la presentación ideal a tus productos con la exclusiva Máquina Selladora de Vasos Ventus ¡Estás a un clic de adquirirlo!,in stock,new,1079.00 PEN,,https://www.lacuracao.pe/maquina-selladora-de-vasos-ventus-vsv-680.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/vsv-680_bcb2e4d96037.jpg,https://www.lacuracao.pe/media/catalog/product/v/s/vsv-680_01.jpg,Ventus,Business & Industrial > Retail,Electrohogar > Equipos de producción,,,,,propio
var33668,Casco de bicicleta MTB BKS para Adultos H360 Negro Gris,Maneja bicicleta más seguro con el casco para adultos MTB gris talla M. Encuentra este producto BKS en La Curacao.,in stock,new,65.00 PEN,,https://www.lacuracao.pe/casco-para-adultos-mtb-talla-m-negro-y-gris.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/var33668_f2677e096bf6.jpg,https://www.lacuracao.pe/media/catalog/product/v/a/var33668_1.jpg,BKS,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Bicicletas,,,,,propio
rc15n,Olla arrocera Imaco 1.5LT RC15N,Toda la calidad de Imaco y a los mejores precios solo en la Curacao.,out of stock,new,99.00 PEN,,https://www.lacuracao.pe/olla-arrocera-imaco-1-5lt-rc15n.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/rc15n_d53ddad6828c.jpg,https://www.lacuracao.pe/media/catalog/product/r/c/rc15n_1_s2i5wlay4xww2jip.jpg,Imaco,Home & Garden > Kitchen & Dining > Kitchen Appliances,Electrohogar > Electrodomésticos > Ollas arroceras,,,,,propio
best91080,Flotador Isla Disney Minnie Mouse Bestway FASHION,Nada mejor que disfrutar de momentos únicos en la piscina con los mejores accesorios de Bestway y La Curacao.,in stock,new,89.00 PEN,,https://www.lacuracao.pe/flotador-isla-disney-minnie-mouse-bestway-fashion.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/best91080_8e04aec97e9d.jpg,https://www.lacuracao.pe/media/catalog/product/b/e/best91080_1_eqctkij1x9g1h43u.jpg,Bestway,Luggage & Bags > Luggage Accessories > Travel Bottles & Containers,Estilo de vida > Viajero > Camping,,,,,propio
gymball,Pelota para yoga pilates 65CM + Inflador,Entrena desde casa con la pelota para yoga pilates de 65 cm que viene con inflador. Encuentra este producto en La Curacao web.,in stock,new,69.00 PEN,,https://www.lacuracao.pe/pelota-para-yoga-pilates-65cm-inflador.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/gymball_87469d40cd99.jpg,https://www.lacuracao.pe/media/catalog/product/g/y/gymball_1_ggtkuctd5r05nd3b.jpg,Genérico,Sporting Goods > Athletics,Estilo de vida > Deporte y vida sana > Accesorios de deporte,,,,,propio
sa-ast311bei,Juego de sala Casabella Aster 3-1-1 Beige,Casabella tiene el juego de sala perfecto para tu hogar. Elige el tuyo en La Curacao web.,in stock,new,2449.00 PEN,,https://www.lacuracao.pe/juego-de-sala-casabella-aster-3-1-1-beige.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/sa-ast311bei_100e241f92ad.jpg,https://www.lacuracao.pe/media/catalog/product/s/a/sa-ast311bei_1.jpg,Casabella,Furniture > Furniture Sets > Living Room Furniture Sets,Muebles > Sala > Juegos de Sala,HOGAR,,,,propio
sa-ast311roj,Juego de sala Casabella Aster 3-1-1 Rojo,Casabella tiene el juego de sala perfecto para tu hogar. Elige el tuyo en La Curacao web.,in stock,new,2449.00 PEN,,https://www.lacuracao.pe/juego-de-sala-casabella-aster-3-1-1-rojo.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/sa-ast311roj_4a63f1eec3b4.jpg,https://www.lacuracao.pe/media/catalog/product/s/a/sa-ast311roj_1.jpg,Casabella,Furniture > Furniture Sets > Living Room Furniture Sets,Muebles > Sala > Juegos de Sala,HOGAR,,,,propio
sa-ar321ne,Juego de sala Casabella Arlett 3-2-1 Negro,Casabella tiene el juego de sala perfecto para tu hogar. Elige el tuyo en La Curacao web.,in stock,new,3429.00 PEN,,https://www.lacuracao.pe/juego-de-sala-casabella-arlett-3-2-1-negro.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/sa-ar321ne_27abd7465df6.jpg,https://www.lacuracao.pe/media/catalog/product/s/a/sa-ar321ne_1_1.jpg,Casabella,Furniture > Furniture Sets > Living Room Furniture Sets,Muebles > Sala > Juegos de Sala,HOGAR,,,,propio
sa-ar32ne,Juego de sala Casabella Arlett 3-2 Negro,Casabella tiene el juego de sala perfecto para tu hogar. Elige el tuyo en La Curacao web.,in stock,new,2759.00 PEN,,https://www.lacuracao.pe/juego-de-sala-casabella-arlett-3-2-negro.html,https://elias-figueroa-trabajo.github.io/repo-lacuracao/lacuracao/catalogo/img/sa-ar32ne_ae091cfb32f6.jpg,https://www.lacuracao.pe/media/catalog/product/s/a/sa-ar32ne_1_1.jpg,Casabella,Furniture > Furniture Sets > Living Room Furniture Sets,Muebles > Sala > Juegos de Sala,HOGAR,,,,propio
